medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
oil on canvas;Pietro Longhi;Topfschlagen;https://upload.wikimedia.org/wikipedia/commons/6/62/%22Pentolaccia%22_game_by_Pietro_Longhi.jpg;1744;%22Pentolaccia%22_game_by_Pietro_Longhi.jpg;1744;KSC94w;;;;;;;
oil on panel;Master of the Bambino Vispo;The Last Judgment;https://upload.wikimedia.org/wikipedia/commons/e/e5/%27The_Last_Judgment%27%2C_by_the_Master_of_the_Bambino_Vispo%2C_c._1422%2C_Alte_Pinakothek.jpg;1422;%27The_Last_Judgment%27%2C_by_the_Master_of_the_Bambino_Vispo%2C_c._1422%2C_Alte_Pinakothek.jpg;1422;KSC94w;;;;;;;
oil on panel;Hans Memling;Porträt eines Mannes mit einer antiken Münze;https://upload.wikimedia.org/wikipedia/commons/b/bd/Hans_Memling_054_detail_03.jpg;1480;Hans_Memling_054_detail_03.jpg;1480;KSC94w;;;;;;;
oil on canvas;John Smybert;Self-portrait;https://upload.wikimedia.org/wikipedia/commons/8/81/1739_JohnSmibert_self_portrait_BermudaGroup_detail_Yale.png;from 1728 until 1739;1739_JohnSmibert_self_portrait_BermudaGroup_detail_Yale.png.jpg;1739;KSC94w;;;;;;;
oil on canvas;Antoine-Jean Gros;Bonaparte at the Bridge of Arcole;https://upload.wikimedia.org/wikipedia/commons/f/f0/1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg;1796;1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg;1796;KSC94w;;;;;;;
oil on canvas;Édouard Manet;Portrait of Émile Zola;https://upload.wikimedia.org/wikipedia/commons/3/3f/Edouard_Manet_049.jpg;1868;Edouard_Manet_049.jpg;1868;KSC94w;;;;;;;
oil on canvas;Édouard Manet;Porträt des Gilbert-Marcellin Desboutin (Der Künstler);https://upload.wikimedia.org/wikipedia/commons/6/6b/Edouard_Manet_050.jpg;1875;Edouard_Manet_050.jpg;1875;KSC94w;;;;;;;
oil on canvas;Pierre-Auguste Renoir;Small Nude in Blue;https://upload.wikimedia.org/wikipedia/commons/5/54/Pierre-Auguste_Renoir_056.jpg;between circa 1878 and circa 1879;Pierre-Auguste_Renoir_056.jpg;1879;KSC94w;;;;;;;
oil on canvas;Édouard Manet;Portrait of Madame Edouard Manet on a blue sofa;https://upload.wikimedia.org/wikipedia/commons/3/31/Edouard_Manet_042.jpg;1880;Edouard_Manet_042.jpg;1880;KSC94w;;;;;;;
Pastell;Édouard Manet;Porträt der Madame Michel-Lévy;https://upload.wikimedia.org/wikipedia/commons/b/b7/Edouard_Manet_045.jpg;1882;Edouard_Manet_045.jpg;1882;KSC94w;;;;;;;
