medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;TrialTimestamp;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
oil on canvas;Pietro Longhi;Topfschlagen;https://upload.wikimedia.org/wikipedia/commons/6/62/%22Pentolaccia%22_game_by_Pietro_Longhi.jpg;1744;%22Pentolaccia%22_game_by_Pietro_Longhi.jpg;1744;HHA96w;2016-06-03-16-32-59;2016-06-03 17:21:39.776475;1.0;5.0;[{'Start': (1183, 79, 1.9797511100769043), 'End': (499, 519, 2.7287840843200684)}];3.5610339641571045;(683.0, 314.0);(726, 580)
oil on panel;Master of the Bambino Vispo;The Last Judgment;https://upload.wikimedia.org/wikipedia/commons/e/e5/%27The_Last_Judgment%27%2C_by_the_Master_of_the_Bambino_Vispo%2C_c._1422%2C_Alte_Pinakothek.jpg;1422;%27The_Last_Judgment%27%2C_by_the_Master_of_the_Bambino_Vispo%2C_c._1422%2C_Alte_Pinakothek.jpg;1422;HHA96w;2016-06-24-12-39-28;2016-06-24 12:40:41.822780;0.0;0.0;[];2.1492722034454346;(683.0, 314.0);(364, 580)
oil on panel;Hans Memling;Porträt eines Mannes mit einer antiken Münze;https://upload.wikimedia.org/wikipedia/commons/b/bd/Hans_Memling_054_detail_03.jpg;1480;Hans_Memling_054_detail_03.jpg;1480;HHA96w;2016-06-10-10-47-19;2016-06-10 11:02:02.101448;0.0;6.0;[{'Start': (369, 16, 1.8564519882202148), 'End': (788, 523, 2.903211832046509)}];3.723094940185547;(683.0, 314.0);(434, 580)
oil on canvas;John Smybert;Self-portrait;https://upload.wikimedia.org/wikipedia/commons/8/81/1739_JohnSmibert_self_portrait_BermudaGroup_detail_Yale.png;from 1728 until 1739;1739_JohnSmibert_self_portrait_BermudaGroup_detail_Yale.png.jpg;1739;HHA96w;2016-06-05-19-42-57;2016-06-05 20:11:53.717014;1.0;5.0;[{'Start': (1035, 110, 1.804809808731079), 'End': (613, 456, 2.707106828689575)}];3.635954856872559;(683.0, 314.0);(469, 580)
oil on canvas;Antoine-Jean Gros;Bonaparte at the Bridge of Arcole;https://upload.wikimedia.org/wikipedia/commons/f/f0/1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg;1796;1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg;1796;HHA96w;2016-05-30-11-52-19;2016-05-30 12:06:57.251872;1.0;5.0;[{'End': (628, 407, 4.154871940612793), 'Start': (997, 33, 3.199553966522217)}];5.282782077789307;(683.0, 314.0);(410, 580)
oil on canvas;Édouard Manet;Portrait of Émile Zola;https://upload.wikimedia.org/wikipedia/commons/3/3f/Edouard_Manet_049.jpg;1868;Edouard_Manet_049.jpg;1868;HHA96w;2016-06-24-12-39-28;2016-06-24 13:12:34.084208;1.0;5.0;[{'Start': (365, 31, 1.7352509498596191), 'End': (825, 443, 2.7843849658966064)}];3.750533103942871;(683.0, 314.0);(441, 580)
oil on canvas;Édouard Manet;Porträt des Gilbert-Marcellin Desboutin (Der Künstler);https://upload.wikimedia.org/wikipedia/commons/6/6b/Edouard_Manet_050.jpg;1875;Edouard_Manet_050.jpg;1875;HHA96w;2016-05-25-12-03-00;2016-05-25 12:23:03.535365;1.0;6.0;[{'Start': (406, 46, 2.176126003265381), 'End': (715, 203, 2.9431707859039307)}];6.052350997924805;(683.0, 314.0);(385, 580)
oil on canvas;Pierre-Auguste Renoir;Small Nude in Blue;https://upload.wikimedia.org/wikipedia/commons/5/54/Pierre-Auguste_Renoir_056.jpg;between circa 1878 and circa 1879;Pierre-Auguste_Renoir_056.jpg;1879;HHA96w;2016-06-10-09-43-06;2016-06-10 10:11:07.828650;1.0;0.0;[];3.0667970180511475;(683.0, 314.0);(464, 580)
oil on canvas;Édouard Manet;Portrait of Madame Edouard Manet on a blue sofa;https://upload.wikimedia.org/wikipedia/commons/3/31/Edouard_Manet_042.jpg;1880;Edouard_Manet_042.jpg;1880;HHA96w;nan;;;;nan;;nan;nan
Pastell;Édouard Manet;Porträt der Madame Michel-Lévy;https://upload.wikimedia.org/wikipedia/commons/b/b7/Edouard_Manet_045.jpg;1882;Edouard_Manet_045.jpg;1882;HHA96w;nan;;;;nan;;nan;nan
