imgname;title;painter;year;medium;image-URL;page-URL;OriginCountry
1744_PietroLonghi_Topfschlagen.jpg;Topfschlagen;Pietro Longhi;circa 1744;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/6/62/%22Pentolaccia%22_game_by_Pietro_Longhi.jpg;https://commons.wikimedia.org/wiki/File:%22Pentolaccia%22_game_by_Pietro_Longhi.jpg;Italy
1422_MasterOfTheBambinoVispo_TheLastJudgment.jpg;The Last Judgment;Master of the Bambino Vispo;circa 1422;oil on panel;https://upload.wikimedia.org/wikipedia/commons/e/e5/%27The_Last_Judgment%27%2C_by_the_Master_of_the_Bambino_Vispo%2C_c._1422%2C_Alte_Pinakothek.jpg;https://commons.wikimedia.org/wiki/File:%27The_Last_Judgment%27,_by_the_Master_of_the_Bambino_Vispo,_c._1422,_Alte_Pinakothek.jpg;No information
1480_HansMemling_PortraetEinesMannes.jpg;Porträt eines Mannes mit einer antiken Münze;Hans Memling;before 1480;oil on panel;https://upload.wikimedia.org/wikipedia/commons/b/bd/Hans_Memling_054_?_03.jpg;https://commons.wikimedia.org/wiki/File:Hans_Memling_054_?_03.jpg;No information
1728_JohnSmybert_Selfportrait.png;Self-portrait;John Smybert;from 1728 until 1739;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/8/81/1739_JohnSmibert_self_portrait_BermudaGroup_?_Yale.jpg;https://commons.wikimedia.org/wiki/File:1739_JohnSmibert_self_portrait_BermudaGroup_?_Yale.jpg;No information
1796_AntoineJeanGros_BonaparteAtThe.jpg;Bonaparte at the Bridge of Arcole;Antoine-Jean Gros;1796;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/f/f0/1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg;https://commons.wikimedia.org/wiki/File:1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg;No information
1868_EdouardManet_PortraitOfEmile.jpg;Portrait of Émile Zola;Édouard Manet;1868;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/3/3f/Edouard_Manet_049.jpg;https://commons.wikimedia.org/wiki/File:Edouard_Manet_049.jpg;No information
1875_EdouardManet_PortraetDes.jpg;Porträt des Gilbert-Marcellin Desboutin Der Künstler;Édouard Manet;1875;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/6/6b/Edouard_Manet_050.jpg;https://commons.wikimedia.org/wiki/File:Edouard_Manet_050.jpg;No information
1878_PierreAugusteRenoir_SmallNudeInBlue.jpg;Small Nude in Blue;Pierre-Auguste Renoir;between circa 1878 and circa 1879;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/5/54/Pierre-Auguste_Renoir_056.jpg;https://commons.wikimedia.org/wiki/File:Pierre-Auguste_Renoir_056.jpg;France
1880_EdouardManet_PortraitOfMadame.jpg;Portrait of Madame Edouard Manet on a blue sofa;Édouard Manet;circa 1880;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/3/31/Edouard_Manet_042.jpg;https://commons.wikimedia.org/wiki/File:Edouard_Manet_042.jpg;France
1882_EdouardManet_PortraetDerMadame.jpg; Porträt der Madame Michel-Lévy;Édouard Manet;1882; Pastell;https://upload.wikimedia.org/wikipedia/commons/b/b7/Edouard_Manet_045.jpg;https://commons.wikimedia.org/wiki/File:Edouard_Manet_045.jpg;France
1508_Michelangelo_DeckenfreskoZur.png; Deckenfresko zur Schöpfungsgeschichte in der Sixtinischen Kapelle, Hauptszene: Der Schöpfergott scheidet Licht und Finsternis Sonne und Mond - heruntergerechnet auf 200 x 69px und in PNG-Dateiformat umgewandelt;Michelangelo;1508-1512;fresco;https://upload.wikimedia.org/wikipedia/commons/0/0a/200x96px-Michelangelo_Buonarroti_018.png;https://commons.wikimedia.org/wiki/File:200x96px-Michelangelo_Buonarroti_018.png;No information
1295_ZhaoMengfu_AutumnColorsOnThe.jpg;Autumn Colors on the Ch'iao and Hua Mountains;Zhao Mengfu;1295;Indian ink and color on paper;https://upload.wikimedia.org/wikipedia/commons/9/9a/2a_Zhao_Mengfu_Autumn_Colors_on_the_Qiao_and_Hua_Mountains_%28central_part%29Handscroll%2C_ink_and_colors_on_paper%2C_28.4_x_93.2_cm_National_Palace_Museum%2C_Taipei.jpg;https://commons.wikimedia.org/wiki/File:2a_Zhao_Mengfu_Autumn_Colors_on_the_Qiao_and_Hua_Mountains_central_partHandscroll,_ink_and_colors_on_paper,_28.4_x_93.2_cm_National_Palace_Museum,_Taipei.jpg;No information
2009_SourceWorksTheYorckProject_Na.png;null;Source works: The Yorck Project;9 December 2009;null;https://upload.wikimedia.org/wikipedia/commons/b/b0/3O_Barnstar.png;https://commons.wikimedia.org/wiki/File:3O_Barnstar.png;No information
1494_VittoreCarpaccio_DasWunderDer.jpg; Das Wunder der Reliquie vom Heiligen Kreuz, ?;Vittore Carpaccio;1494;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/3/3a/492px-Vittore_Carpaccio_004_?.jpg;https://commons.wikimedia.org/wiki/File:492px-Vittore_Carpaccio_004_?.jpg;No information
1873_IvanNikolaevichKramskoi_DerMueller.jpg;Der Müller;Ivan Nikolaevich Kramskoi;1873;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/a/a3/A_miller_by_I.Kramskoy_%281873%2C_Russian_museum%29.jpg;https://commons.wikimedia.org/wiki/File:A_miller_by_I.Kramskoy_1873,_Russian_museum.jpg;Russia
1607_AbelGrimmer_DerHerbst.jpg;Der Herbst;Abel Grimmer;1607;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/c/c9/Abel_Grimmer_001.jpg;https://commons.wikimedia.org/wiki/File:Abel_Grimmer_001.jpg;Netherlands Flandern
